,archivo,zero_cr,spectral_centroid,spectral_bw,spectral_rf,croma,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,BPM,auto_c,genero
248,MUJERESDIVINAS-CANEO_01m_00s__02m_00s.mp3,10,3349.5264871025993,3268.396594045963,6849.342236375485,0.47090038657188416,-212.2394256591797,119.824462890625,-47.617767333984375,64.8185043334961,-6.3919267654418945,34.279903411865234,-15.327473640441895,20.02300262451172,2.2358665466308594,-3.2315266132354736,-1.516926884651184,9.070284843444824,-1.49068021774292,-3.1385610103607178,3.9842233657836914,-4.807514667510986,-0.629252552986145,-3.6353230476379395,2.103132724761963,-7.153037071228027,123.046875,0.38348028676831997,salsa
249,MUNDOCRUEL-JOEARROYO_01m_00s__02m_00s.mp3,9,3556.563524969063,3220.219915172306,7115.676184365916,0.468797504901886,-171.12815856933594,132.9869384765625,-54.47502517700195,80.91950988769531,-20.423648834228516,34.72530746459961,-21.241121292114258,14.49332332611084,2.238941192626953,1.12336003780365,-1.3998996019363403,3.0485382080078125,4.575644016265869,-9.515689849853516,2.522306203842163,-6.068342685699463,4.917275905609131,-7.090391159057617,0.2931261956691742,-1.8531548976898193,126.04801829268293,0.4350568940122037,salsa
250,NECESITOUNAMOR-D.R.A_01m_00s__02m_00s.mp3,16,4324.171008290886,3894.120806919317,8748.393428661095,0.4798511266708374,-164.8154296875,104.28340148925781,-29.904691696166992,66.2163314819336,-29.831972122192383,33.48241424560547,-22.763551712036133,21.978557586669922,-3.836857795715332,7.745911121368408,-2.9765989780426025,13.804740905761719,-5.469765663146973,-0.21281680464744568,2.8437559604644775,-8.930682182312012,6.596292495727539,-7.575929641723633,1.01641047000885,-10.728885650634766,109.95678191489361,0.4817520315512391,salsa
251,NOSECOMOTEQUIERO-D.R.A_01m_00s__02m_00s.mp3,12,4289.4903672521605,3778.4689401058145,8723.706755207324,0.44673991203308105,-188.49114990234375,107.83753204345703,-45.98611831665039,58.51618957519531,-31.72896385192871,34.94242477416992,-23.492816925048828,19.212369918823242,-12.219751358032227,10.10175895690918,-5.884653568267822,6.937694549560547,1.3307440280914307,1.6046561002731323,4.677058219909668,-8.24869155883789,6.2460432052612305,-6.604467391967773,2.646333694458008,-9.513799667358398,120.18531976744185,0.4621481228978522,salsa
252,NUESTROSUEÑO-GRUPONICHE_01m_00s__02m_00s.mp3,2,1841.3133139606666,2287.356970450069,3511.634431193579,0.39014148712158203,-261.9945983886719,175.45411682128906,-34.473567962646484,25.338104248046875,-4.532150745391846,8.730508804321289,-1.6161514520645142,1.8419584035873413,-5.640198230743408,-1.2013641595840454,-1.5969066619873047,-4.948975086212158,-4.589343070983887,-6.972898006439209,-2.743924617767334,-8.102014541625977,-2.3912312984466553,-3.866469383239746,-2.671333074569702,-5.3638763427734375,120.18531976744185,0.383229284988951,salsa
253,PERDONAME-GILBERTOSANTAROSA_01m_00s__02m_00s.mp3,6,2114.333552942347,2500.853533462603,3927.826743826412,0.40002861618995667,-234.11575317382812,174.89553833007812,-41.83464813232422,21.58835220336914,-12.401240348815918,15.994539260864258,-12.069892883300781,5.134108543395996,-5.973276138305664,4.046255588531494,-2.1825873851776123,0.6498440504074097,1.9611740112304688,-3.3404972553253174,4.504395008087158,-1.5094565153121948,-0.14218774437904358,1.3154982328414917,3.1205241680145264,-3.644439458847046,105.46875,0.4718233564363292,salsa
254,PERFUMEDEPARIS-LAMISMAGENTE_01m_00s__02m_00s.mp3,11,2950.0853839155575,2968.9141451684045,6020.065974745639,0.3932923972606659,-202.04986572265625,138.77577209472656,-48.85776901245117,57.91083908081055,-22.026159286499023,14.523296356201172,-14.18261432647705,5.572183609008789,-3.4438371658325195,-2.393136739730835,-1.7459324598312378,1.7362489700317383,-0.420074462890625,-5.639111042022705,3.0218889713287354,-2.8265292644500732,-1.2168705463409424,-2.608138084411621,1.970356822013855,-9.305448532104492,89.10290948275862,0.4423828027115275,salsa
255,PORRETENERTE-LOSTITANES_01m_00s__02m_00s.mp3,1,2546.8505692842805,2888.055863637733,5449.262669728192,0.46328651905059814,-205.01583862304688,146.8348846435547,-40.348297119140625,58.30746078491211,-14.370433807373047,23.570266723632812,-5.3952460289001465,5.279090881347656,1.9613076448440552,2.8744821548461914,-0.5366336703300476,3.8925209045410156,-0.7109691500663757,-3.209676504135132,2.6215062141418457,-4.6264166831970215,2.214982748031616,-4.269922256469727,-1.4149922132492065,-7.1472320556640625,112.34714673913044,0.4143187276915908,salsa
256,QUEFORMADEQUERER-GRUPOGALE_01m_00s__02m_00s.mp3,18,2884.504461892808,3177.802322225371,6068.53134892599,0.40969157218933105,-216.92132568359375,138.87184143066406,-24.33046531677246,58.86702346801758,-24.40182876586914,19.275014877319336,-10.240730285644531,6.759147644042969,-8.174500465393066,7.023027420043945,-1.8312288522720337,-2.729539394378662,0.36731359362602234,-3.0326058864593506,1.8318284749984741,-4.503128528594971,-1.2627537250518799,-4.418729305267334,-2.0569303035736084,-8.787568092346191,114.84375,0.5000585635574147,salsa
257,QUEHAYDEMALO-JERRYRIVERA_01m_00s__02m_00s.mp3,4,2675.123323307296,2982.7233149111985,5457.428467507275,0.37285375595092773,-163.0708465576172,145.8068084716797,-34.42716598510742,45.70500564575195,-8.173537254333496,17.3596134185791,-13.403060913085938,5.763693809509277,-9.604427337646484,-0.9814867973327637,-1.0567188262939453,2.3627943992614746,-3.673818588256836,-1.6096220016479492,4.252747058868408,-4.994258403778076,-3.525104284286499,-0.18654201924800873,-1.9393521547317505,-4.963151931762695,123.046875,0.4764162370270286,salsa
258,QUIEREMESIEMPRE-AFREDOGUTIERREZ_01m_00s__02m_00s.mp3,9,2228.959950254,2371.2989739785553,4111.237149097006,0.41920050978660583,-197.54856872558594,170.70631408691406,-62.247833251953125,35.337013244628906,-9.464681625366211,12.580475807189941,-15.418527603149414,10.608704566955566,4.903078079223633,0.17810913920402527,1.969221830368042,7.123902320861816,7.458375453948975,-5.401194095611572,7.42788028717041,-2.601231336593628,-0.2744135856628418,-2.5818676948547363,3.188154697418213,-0.20259037613868713,95.703125,0.578660030807375,salsa
259,QUIEROMORIRENTUPIEL-WILLIEGONZALEZ_01m_00s__02m_00s.mp3,9,2864.2935260362733,3275.64499099313,5840.671364450926,0.4253506660461426,-186.84063720703125,144.21383666992188,-39.30411911010742,28.084115982055664,-10.143939971923828,17.46016502380371,-21.38250160217285,18.267566680908203,-7.401086807250977,5.491944789886475,-5.052419185638428,9.24589729309082,-5.030738830566406,-5.557553768157959,2.134309768676758,-7.8350090980529785,-3.494877815246582,-1.6079176664352417,0.0793752670288086,-10.84935188293457,129.19921875,0.4840085254374724,salsa
260,#Selfie_01m_00s__02m_00s.mp3,0,3957.277505797528,4009.4733171411776,8551.014404296875,0.554203987121582,-43.531455993652344,104.90373229980469,-37.39965057373047,51.011375427246094,-20.481801986694336,34.916316986083984,-15.417563438415527,20.492197036743164,-14.670378684997559,9.756608963012695,-6.328601837158203,6.86637544631958,2.739032506942749,3.2852392196655273,2.2374675273895264,-2.368412733078003,7.205754280090332,-0.18193119764328003,10.604888916015625,-4.388736248016357,129.19921875,0.5219677044603707,electronica
